0.005172123	0.055496349
0	0
0.009428567	-0.095718633
0.012891679	-0.023439309
0	0
0.014200631	-0.057445653
0.011140314	-0.112863313
0.012859193	0.069405679
0.019682423	-0.054138667
0.009932697	0.070135274
0	0
0.011757002	-0.109869284
0.011020615	-0.030627615
-0.006433893	0.095823315
-0.02582577	0.163487329
-0.013415482	-0.026755357
0	0
-0.014555581	0.033540676
-0.012593443	-0.040843589
-0.021226107	-0.006908882
0.001630889	-0.151525597
0	0
0.006516617	0.009430583
0.018723651	0.053799207
0	0
0.018917915	0.027731781
0.031681713	-0.075857261
0.031755168	-0.106997285
0	0
0.018243626	-0.009290983
0.013422537	-0.051662627
0.008416573	0.071756049
0.01576159	-0.011466132
0.005429448	-0.062126576
0	0
0.008458045	0.030398515
-0.001840536	0.020335575
-0.010726332	0.001187185
-0.045639851	-0.02899924
-0.071827647	-0.308560148
0	0
-0.079665697	-0.002241439
-0.116941329	-0.045248443
-0.114906749	-0.116451248
-0.042053511	-0.176249402
0	0
-0.039907807	-0.092385409
0.004405739	-0.114628894
0.015167385	-0.1614759
0.006143754	-0.291940114
-0.111211787	-0.179300215
0	0
-0.040334691	-0.290474076
-0.124193322	-0.089928593
-0.179666263	-0.245902897
-0.087926469	-0.213882627
-0.131229611	-0.422935819
0	0
-0.12248849	-0.166717473
-0.125221604	-0.266093516
-0.028722426	-0.337381773
-0.149796018	-0.236086216
-0.062331055	-0.438103383
0	0
-0.032366093	-0.440830061
0	0
0.032300571	-0.314131165
0.091591648	-0.206897522
0.102628291	-0.344747525
0.173974256	-0.311807646
0	0
0.056085612	-0.001899872
-0.002043982	-0.119994181
-0.039227093	-0.176554255
-0.020783247	-0.277489615
0.014097805	-0.196891389
0.028948499	-0.34742366
0.113126897	-0.357865459
